key,track,file,frame_w,frame_h,anims,parallax,repeat,note
char.player,pixel,res://assets/art_generated/packs/player.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
char.y01_ttukttagi,pixel,res://assets/art_generated/packs/yokai_y01_ttukttagi.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y01_ttukttagi,illust,res://assets/art_generated/packs/illust_y01_ttukttagi.png,0,0,,1.0,false,
char.y02_eoduki,pixel,res://assets/art_generated/packs/yokai_y02_eoduki.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y02_eoduki,illust,res://assets/art_generated/packs/illust_y02_eoduki.png,0,0,,1.0,false,
char.y03_dalgael,pixel,res://assets/art_generated/packs/yokai_y03_dalgael.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y03_dalgael,illust,res://assets/art_generated/packs/illust_y03_dalgael.png,0,0,,1.0,false,
char.y04_bari,pixel,res://assets/art_generated/packs/yokai_y04_bari.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y04_bari,illust,res://assets/art_generated/packs/illust_y04_bari.png,0,0,,1.0,false,
char.y05_geumjuri,pixel,res://assets/art_generated/packs/yokai_y05_geumjuri.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y05_geumjuri,illust,res://assets/art_generated/packs/illust_y05_geumjuri.png,0,0,,1.0,false,
char.y06_aheop,pixel,res://assets/art_generated/packs/yokai_y06_aheop.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y06_aheop,illust,res://assets/art_generated/packs/illust_y06_aheop.png,0,0,,1.0,false,
char.y07_museo,pixel,res://assets/art_generated/packs/yokai_y07_museo.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y07_museo,illust,res://assets/art_generated/packs/illust_y07_museo.png,0,0,,1.0,false,
char.y08_ongi,pixel,res://assets/art_generated/packs/yokai_y08_ongi.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y08_ongi,illust,res://assets/art_generated/packs/illust_y08_ongi.png,0,0,,1.0,false,
char.y09_daltokki,pixel,res://assets/art_generated/packs/yokai_y09_daltokki.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y09_daltokki,illust,res://assets/art_generated/packs/illust_y09_daltokki.png,0,0,,1.0,false,
char.y10_geuseundae,pixel,res://assets/art_generated/packs/yokai_y10_geuseundae.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.y10_geuseundae,illust,res://assets/art_generated/packs/illust_y10_geuseundae.png,0,0,,1.0,false,
guest.g_mongdanggwi,pixel,res://assets/art_generated/packs/guest_g_mongdanggwi.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_ibulnang,pixel,res://assets/art_generated/packs/guest_g_ibulnang.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_usanson,pixel,res://assets/art_generated/packs/guest_g_usanson.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_geumjuri,pixel,res://assets/art_generated/packs/guest_g_geumjuri.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_ongi,pixel,res://assets/art_generated/packs/guest_g_ongi.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_bobusang,pixel,res://assets/art_generated/packs/guest_g_bobusang.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_baram,pixel,res://assets/art_generated/packs/guest_g_baram.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_moon_rabbit,pixel,res://assets/art_generated/packs/guest_g_moon_rabbit.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_snow_child,pixel,res://assets/art_generated/packs/guest_g_snow_child.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_ink_sprite,pixel,res://assets/art_generated/packs/guest_g_ink_sprite.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_lantern_fish,pixel,res://assets/art_generated/packs/guest_g_lantern_fish.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
guest.g_stone_mireuk,pixel,res://assets/art_generated/packs/guest_g_stone_mireuk.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_ash_wisp,pixel,res://assets/art_generated/packs/enemy_e_ash_wisp.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_cinder_hound,pixel,res://assets/art_generated/packs/enemy_e_cinder_hound.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_ash_warden,pixel,res://assets/art_generated/packs/enemy_e_ash_warden.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_marsh_leech,pixel,res://assets/art_generated/packs/enemy_e_marsh_leech.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_bog_lantern,pixel,res://assets/art_generated/packs/enemy_e_bog_lantern.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_marsh_wraith,pixel,res://assets/art_generated/packs/enemy_e_marsh_wraith.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_marsh_mother,pixel,res://assets/art_generated/packs/enemy_e_marsh_mother.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_clerk_shade,pixel,res://assets/art_generated/packs/enemy_e_clerk_shade.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_stamp_golem,pixel,res://assets/art_generated/packs/enemy_e_stamp_golem.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_ledger_wisp,pixel,res://assets/art_generated/packs/enemy_e_ledger_wisp.png,16,16,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
enemy.e_auditor,pixel,res://assets/art_generated/packs/enemy_e_auditor.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
npc.seongju,pixel,res://assets/art_generated/packs/npc_seongju.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.seongju,illust,res://assets/art_generated/packs/illust_seongju.png,0,0,,1.0,false,
npc.jowang,pixel,res://assets/art_generated/packs/npc_jowang.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.jowang,illust,res://assets/art_generated/packs/illust_jowang.png,0,0,,1.0,false,
npc.mundori,pixel,res://assets/art_generated/packs/npc_mundori.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.mundori,illust,res://assets/art_generated/packs/illust_mundori.png,0,0,,1.0,false,
