id,name_ko,realm,seed_item,harvest_item,grow_days,water_per_day,yield_min,yield_max,yin_growth_bonus,season
c_radish,무,mortal,seed_radish,radish,3,1,1,2,0.0,spring
c_cabbage,배추,mortal,seed_cabbage,cabbage,4,1,1,2,0.0,spring
c_perilla,깻잎,mortal,seed_perilla,perilla,3,1,2,3,0.0,any
c_garlic,마늘,mortal,seed_garlic,garlic,5,1,1,3,0.0,spring
c_sweet_potato,고구마,mortal,seed_sweet_potato,sweet_potato,5,1,1,2,0.0,any
c_moon_melon,달무리 참외,demon,seed_moon_melon,moon_melon,4,1,1,1,1.0,any
c_ash_pepper,잿빛 고추,demon,seed_ash_pepper,ash_pepper,5,1,1,2,1.0,any
c_cucumber,오이,mortal,seed_cucumber,cucumber,3,1,2,3,0.0,summer
c_pumpkin,호박,mortal,seed_pumpkin,pumpkin,5,1,1,2,0.0,summer
c_buckwheat,메밀,mortal,seed_buckwheat,buckwheat,4,1,2,3,0.0,autumn
