id,kind,yokai_id,timeband,day_min,day_max,min_affinity,requires_item,requires_flag,once,priority,dialogue_id,title_ko
tut_morning,tutorial,,morning,1,1,0,,,true,100,d_tut_morning,성주 영감의 첫 인사
tut_evening,tutorial,,evening,1,1,0,,,true,100,d_tut_evening,정산과 심사
tut_night,tutorial,,night,1,1,0,,,true,100,d_tut_night,밤과 하숙부
tut_arrival,tutorial,,evening,2,2,0,,joined_y03_dalgael,true,90,d_tut_arrival,빈 카드의 손님
y01_act1,story,y01_ttukttagi,night,1,0,0,,,true,10,d_y01_act1,뚝딱이 1막 — 허풍
y01_act2,story,y01_ttukttagi,night,3,0,1,,,true,10,d_y01_act2,뚝딱이 2막 — 반쪽 방망이
y01_act3,story,y01_ttukttagi,night,5,0,2,,,true,10,d_y01_act3,뚝딱이 3막 — 부적 조각
y02_act1,story,y02_eoduki,night,1,0,0,,,true,10,d_y02_act1,어둑이 1막 — 미움받을까 봐
y02_act2,story,y02_eoduki,night,3,0,1,,,true,10,d_y02_act2,어둑이 2막 — 무섭지 않음 판정
y02_act3,story,y02_eoduki,night,5,0,2,,,true,10,d_y02_act3,어둑이 3막 — 네 자리
y03_act1,story,y03_dalgael,night,2,0,0,,,true,10,d_y03_act1,달갤 1막 — 김서림
y03_act2,story,y03_dalgael,night,4,0,1,record_piece,,true,10,d_y03_act2,달갤 2막 — 찢긴 페이지
y03_act3,story,y03_dalgael,night,6,0,2,record_piece,,true,10,d_y03_act3,달갤 3막 — 서명
ev_gray_merchant_greet,npc,,any,1,0,0,,,true,50,d_merchant_greet,회색 장꾼의 첫 인사
c1_e1_inherit,chapter,,night,3,0,0,,,true,20,d_c1_inherit,결계의 상속
c1_e2_rumor,chapter,,night,1,0,0,,gray_merchant_met,true,20,d_c1_rumor,회색 시장의 소문
c1_e3_ledger,chapter,,night,1,0,0,,rumor_ledger,true,20,d_c1_ledger,하숙부의 진실
c1_e4_letter,chapter,,evening,10,0,0,,ledger_truth,true,20,d_c1_letter,회수 집행관의 편지
c1_e5_fear,chapter,y01_ttukttagi,night,1,0,0,,collector_letter,true,20,d_c1_fear,뚝딱이의 두려움
c1_e6_dalgael,chapter,y03_dalgael,night,1,0,0,,ledger_truth,true,15,d_c1_dalgael,달갤과 장부
c1_e7_audit,chapter,,evening,20,0,0,,collector_letter,true,20,d_c1_audit,회수 집행관 3급의 감사
c1_e8_ward,chapter,,night,1,0,0,,chapter_c2,true,30,d_c1_ward,결계가 단단해졌다
y05_act1,story,y05_geumjuri,night,1,0,0,,,true,10,d_y05_act1,금줄이 1막 — 문턱
ev_village_grocer_greet,npc,,any,1,0,0,,,true,50,d_village_grocer_greet,마을 잡화상의 첫 인사
ev_herb_granny_greet,npc,,any,1,0,0,,,true,50,d_herb_granny_greet,약방 할미의 첫 인사
y04_act1,story,y04_bari,night,1,0,0,,,true,10,d_y04_act1,바리 1막 — 마른 논
y04_act2,story,y04_bari,night,1,0,1,,,true,10,d_y04_act2,바리 2막 — 재해국 명부
y04_act3,story,y04_bari,night,1,0,2,,,true,10,d_y04_act3,바리 3막 — 문서고의 위치
y06_act1,story,y06_aheop,night,1,0,0,,,true,10,d_y06_act1,아홉 1막 — 여덟 꼬리
y06_act2,story,y06_aheop,night,1,0,1,,,true,10,d_y06_act2,아홉 2막 — 둔갑 시험
y06_act3,story,y06_aheop,night,1,0,2,,,true,10,d_y06_act3,아홉 3막 — 아홉 번째
y07_act1,story,y07_museo,night,1,0,0,,,true,10,d_y07_act1,무쇠 1막 — 쇠맛
y07_act2,story,y07_museo,night,1,0,1,,,true,10,d_y07_act2,무쇠 2막 — 불난 밤
y07_act3,story,y07_museo,night,1,0,2,,,true,10,d_y07_act3,무쇠 3막 — 먹지 않은 것
y08_act1,story,y08_ongi,night,1,0,0,,,true,10,d_y08_act1,옹기 1막 — 금
y08_act2,story,y08_ongi,night,1,0,1,,,true,10,d_y08_act2,옹기 2막 — 담아 둔 것
y08_act3,story,y08_ongi,night,1,0,2,,,true,10,d_y08_act3,옹기 3막 — 비운 항아리
y09_act1,story,y09_daltokki,night,1,0,0,,,true,10,d_y09_act1,달토끼 1막 — 절구
y09_act2,story,y09_daltokki,night,1,0,1,,,true,10,d_y09_act2,달토끼 2막 — 달의 장부
y09_act3,story,y09_daltokki,night,1,0,2,,,true,10,d_y09_act3,달토끼 3막 — 여기서 찧는다
y10_act1,story,y10_geuseundae,night,1,0,0,,,true,10,d_y10_act1,그슨대 1막 — 올려다보지 마
y10_act2,story,y10_geuseundae,night,1,0,1,,,true,10,d_y10_act2,그슨대 2막 — 밤길
y10_act3,story,y10_geuseundae,night,1,0,2,,,true,10,d_y10_act3,그슨대 3막 — 작아진 그림자
y05_act2,story,y05_geumjuri,night,1,0,1,,,true,10,d_y05_act2,금줄이 2막 — 끊어진 줄
y05_act3,story,y05_geumjuri,night,1,0,2,,,true,10,d_y05_act3,금줄이 3막 — 새 매듭
y01_epilogue,epilogue,y01_ttukttagi,night,1,0,5,,chapter_c3,true,40,d_y01_epilogue,뚝딱이 정착 — 방망이를 걸다
c2_e1_map,chapter,,night,1,0,0,,archive_location,true,20,d_c2_map,바리의 지도
