id,name_ko,kind,base_value
meal,밥,food,5
trinket,잡동사니,material,8
wood,목재,material,6
cloth,천,material,7
charm,부적,misc,20
scrap,쇠부스러기,material,10
doodle,낙서,misc,3
record_piece,기록 조각,key,0
t_throw,투척 부적,talisman,15
t_gather,채집 부적,talisman,12
t_return,귀환 부적,talisman,20
m_namul,나물,material,4
m_mushroom,버섯,material,5
m_branch,나뭇가지,material,2
m_stone,돌,material,2
m_acorn,도토리,material,3
m_herb,약초,material,9
m_bamboo,대나무,material,7
m_ore,철광석,material,10
m_clay,찰흙,material,4
m_spring_water,샘물,material,3
m_ash_grass,잿빛 풀,material,8
m_ember_stone,잿불돌,material,14
m_shadow_moss,그늘이끼,material,20
seed_radish,무 씨앗,seed,3
seed_cabbage,배추 씨앗,seed,4
seed_perilla,깻잎 씨앗,seed,3
seed_garlic,마늘 씨앗,seed,5
seed_sweet_potato,고구마 씨앗,seed,5
seed_moon_melon,달무리 참외 씨앗,seed,12
seed_ash_pepper,잿빛 고추 씨앗,seed,14
radish,무,crop,8
cabbage,배추,crop,10
perilla,깻잎,crop,6
garlic,마늘,crop,12
sweet_potato,고구마,crop,11
moon_melon,달무리 참외,crop,30
ash_pepper,잿빛 고추,crop,26
dish_namul_muchim,나물무침,food,14
dish_mushroom_soup,버섯국,food,18
dish_radish_soup,뭇국,food,16
dish_perilla_wrap,깻잎쌈,food,18
dish_herb_tea,약초차,food,20
dish_acorn_jelly,도토리묵,food,16
dish_kimchi,김치,food,30
dish_garlic_stew,마늘찜,food,34
dish_roasted_sweet_potato,군고구마,food,24
dish_moon_melon_slice,달무리 화채,food,48
dish_ash_pepper_stew,잿빛 고추찜,food,52
dish_shadow_stew,그늘탕,food,60
f_minnow,피라미,fish,6
f_crucian,붕어,fish,10
f_catfish,메기,fish,18
f_sweetfish,은어,fish,24
j_straw_shoe,낡은 짚신,misc,1
j_clay_bottle,흙병,misc,3
m_red_bean,팥,material,6
dish_patjuk,동지 팥죽,food,40
dish_red_bean_rice,팥밥,food,26
f_carp,잉어,fish,30
f_wet_visitor,물에 젖은 손님,misc,0
letter_collector,회수 집행관의 통지서,key,0
m_moon_dew,달빛 이슬,material,12
