id,name_ko,realm,source,tool_kind,min_tool_level,season,yin_condition,rarity
m_namul,나물,mortal,gather,none,0,spring,any,common
m_mushroom,버섯,mortal,gather,none,0,any,any,common
m_branch,나뭇가지,mortal,gather,none,0,any,any,common
m_stone,돌,mortal,gather,none,0,any,any,common
m_acorn,도토리,mortal,gather,none,0,any,any,common
m_herb,약초,mortal,gather,none,0,any,any,uncommon
wood,목재,mortal,chop,axe,1,any,any,common
m_bamboo,대나무,mortal,chop,axe,1,any,any,uncommon
m_ore,철광석,mortal,mine,pickaxe,1,any,any,uncommon
m_clay,찰흙,mortal,mine,pickaxe,1,any,any,common
m_spring_water,샘물,mortal,gather,none,0,any,any,common
m_ash_grass,잿빛 풀,demon,gather,none,0,any,any,common
m_ember_stone,잿불돌,demon,mine,pickaxe,1,any,any,uncommon
m_shadow_moss,그늘이끼,demon,gather,none,0,any,high,rare
m_red_bean,팥,mortal,gather,none,0,spring,any,uncommon
m_moon_dew,달빛 이슬,mortal,gather,none,0,any,any,uncommon
m_wild_berry,산딸기,mortal,gather,none,0,summer,any,common
m_chestnut,밤,mortal,gather,none,0,autumn,any,common
m_pine_mushroom,송이,mortal,gather,none,0,autumn,high,rare
m_ice_shard,얼음조각,mortal,gather,none,0,winter,any,uncommon
m_marsh_reed,늪갈대,demon,gather,none,0,any,any,common
m_bog_light,늪불 심지,demon,gather,none,0,any,high,uncommon
m_marsh_pearl,늪진주,demon,gather,none,0,any,any,rare
m_ash_paper,잿빛 종이,demon,gather,none,0,any,any,common
m_ink_stone,먹돌,demon,mine,pickaxe,2,any,any,uncommon
m_ledger_scrap,장부 조각,demon,gather,none,0,any,any,rare
