id,name_ko,realm,kind,parent_id,gather_point_count,gather_pool,enemy_pool,boss_id,stamina_enter_cost,in_p1,width_px,ground,doors,gather_span,farm_x,sky_color,fishing_x,enemy_count,npcs,night_gather_pool,night_enemy_pool,night_enemy_count,night_sky_color
r_house,하숙집,mortal,house,,0,,,,0,true,0,,,,0,2b3f55,0,0,,,,0,
r_yard,마당,mortal,yard,,0,,,,0,true,480,0:480:0,r_house:32;r_village:160;r_well:296;r_back_hill:448,,96,8fb0b8,0,0,,,,0,
r_back_hill,뒷산,mortal,wild,,8,m_namul;m_mushroom;m_branch;m_stone;m_acorn;m_herb;wood;m_bamboo;m_ore;m_clay;m_red_bean;m_wild_berry;m_chestnut;m_pine_mushroom;m_ice_shard,,,5,true,960,0:320:0;320:640:-32;640:960:-64,r_yard:32;r_stream:928,112:912,0,8fb0b8,0,0,,m_mushroom;m_herb;m_shadow_moss;m_moon_dew,e_ash_wisp,2,2b3f55
r_stream,개울,mortal,wild,r_back_hill,2,m_spring_water;m_stone;m_clay,,,3,true,480,0:480:0,r_back_hill:32,192:352,0,8fb0b8,300,0,,,,0,
r_well,우물 아래,mortal,gate,r_yard,0,,,,0,true,320,0:320:0,r_yard:32;r_ash_field:288;r_gray_market:160,,0,2b3f55,224,0,,,,0,
r_ash_field,잿빛 들,demon,expedition,r_well,8,m_ash_grass;m_ember_stone;m_shadow_moss,e_ash_wisp;e_cinder_hound,,15,true,960,0:960:0,r_well:32;r_ash_field_deep:928,112:912,0,4a4352,0,4,,,,0,
r_ash_field_deep,잿빛 들 심부,demon,expedition,r_ash_field,0,,e_ash_wisp;e_cinder_hound,e_ash_warden,10,true,640,0:640:0,r_ash_field:32;r_archive_gate:608,,0,4a4352,0,3,,,,0,
r_gray_market,회색 시장,demon,market,r_well,0,,,,0,true,480,0:480:0,r_well:32;r_moon_marsh:448,,0,3a2f4a,0,0,gray_merchant:gray:300,,,0,
r_village,마을 상점가,mortal,village,r_yard,0,,,,0,false,480,0:480:0,r_yard:32,,0,c7d48f,0,0,village_grocer:village:200;herb_granny:apothecary:360,,,0,
r_moon_marsh,달무리 늪,demon,expedition,r_gray_market,6,m_marsh_reed;m_bog_light;m_marsh_pearl,e_marsh_leech;e_bog_lantern,e_marsh_mother,12,false,800,0:800:0,r_gray_market:32,96:704,0,3b3f5c,420,3,,m_marsh_reed;m_marsh_pearl;m_shadow_moss,e_marsh_leech;e_marsh_wraith,4,1f2238
r_archive_gate,문서고 외곽,demon,expedition,r_ash_field_deep,6,m_ash_paper;m_ink_stone;m_ledger_scrap,e_clerk_shade;e_stamp_golem,e_auditor,20,false,960,0:320:0;320:640:-32;640:960:0,r_ash_field_deep:32,96:880,0,2a2a3a,0,4,,m_ash_paper;m_ledger_scrap;m_ink_stone,e_clerk_shade;e_ledger_wisp,5,141420
